tipSampleSeparation,vDeflection,height,head-height,smoothedCapacitiveSensorHeight,capacitiveSensorHeight,smoothedMeasuredHeight,measuredHeight,seriesTime,time
3.0852945e-07,-6.8386984e-11,8.334939e-06,6.570182e-06,3.0877806e-07,3.0700286e-07,3.0877806e-07,3.0700286e-07,2.5e-05,2.5e-05
3.0871863e-07,1.0422516e-11,8.33491e-06,6.570159e-06,3.0868074e-07,3.068073e-07,3.0868074e-07,3.068073e-07,7.5e-05,7.5e-05
3.0846314e-07,-3.3091356e-11,8.334882e-06,6.5701374e-06,3.0858342e-07,3.0668286e-07,3.0858342e-07,3.0668286e-07,0.000125,0.000125
3.083239e-07,-4.462259e-11,8.33486e-06,6.5701197e-06,3.084861e-07,3.065406e-07,3.084861e-07,3.065406e-07,0.000175,0.000175
3.0809386e-07,-8.113417e-11,8.334836e-06,6.5701015e-06,3.083888e-07,3.064873e-07,3.083888e-07,3.064873e-07,0.000225,0.000225
3.083246e-07,9.110314e-12,8.334802e-06,6.5700747e-06,3.0829148e-07,3.0675398e-07,3.0829148e-07,3.0675398e-07,0.000275,0.000275
3.0839428e-07,5.504535e-11,8.334758e-06,6.5700397e-06,3.0819416e-07,3.0666507e-07,3.0819416e-07,3.0666507e-07,0.000325,0.000325
3.080128e-07,-2.3117801e-11,8.334716e-06,6.5700065e-06,3.0809684e-07,3.065584e-07,3.0809684e-07,3.065584e-07,0.000375,0.000375
3.0800174e-07,6.095343e-13,8.334665e-06,6.5699664e-06,3.0799953e-07,3.067184e-07,3.0799953e-07,3.067184e-07,0.000425,0.000425
3.079429e-07,1.11977e-11,8.334612e-06,6.5699246e-06,3.079022e-07,3.063273e-07,3.079022e-07,3.063273e-07,0.000475,0.000475
3.079023e-07,2.6792527e-11,8.334572e-06,6.5698932e-06,3.078049e-07,3.0629175e-07,3.078049e-07,3.0629175e-07,0.000525,0.000525
3.0766446e-07,-1.1864769e-11,8.334519e-06,6.569852e-06,3.0770758e-07,3.0646953e-07,3.0770758e-07,3.0646953e-07,0.000575,0.000575
3.0756593e-07,-1.2199453e-11,8.334463e-06,6.5698073e-06,3.0761026e-07,3.0618506e-07,3.0761026e-07,3.0618506e-07,0.000625,0.000625
3.0762834e-07,3.1739993e-11,8.334411e-06,6.569766e-06,3.0751295e-07,3.0629175e-07,3.0751295e-07,3.0629175e-07,0.000675,0.000675
3.0737692e-07,-1.0652438e-11,8.334342e-06,6.5697113e-06,3.0741563e-07,3.0645174e-07,3.0741563e-07,3.0645174e-07,0.000725,0.000725
3.075226e-07,5.6192277e-11,8.3342675e-06,6.569653e-06,3.0731832e-07,3.0643395e-07,3.0731832e-07,3.0643395e-07,0.000775,0.000775
3.0730243e-07,2.2524035e-11,8.334188e-06,6.569591e-06,3.0722055e-07,3.0634507e-07,3.0722055e-07,3.0634507e-07,0.000825,0.000825
3.0704467e-07,-2.1607924e-11,8.3341165e-06,6.5695344e-06,3.0712323e-07,3.0604284e-07,3.0712323e-07,3.0604284e-07,0.000875,0.000875
3.0691496e-07,-3.052546e-11,8.33404e-06,6.569474e-06,3.070259e-07,3.0629175e-07,3.070259e-07,3.0629175e-07,0.000925,0.000925
3.0693133e-07,7.5163215e-13,8.333955e-06,6.569406e-06,3.069286e-07,3.062206e-07,3.069286e-07,3.062206e-07,0.000975,0.000975
3.0685015e-07,5.3176977e-12,8.333863e-06,6.5693343e-06,3.0683083e-07,3.0630952e-07,3.0683083e-07,3.0630952e-07,0.001025,0.001025
3.0688443e-07,4.151315e-11,8.333769e-06,6.56926e-06,3.067335e-07,3.060784e-07,3.067335e-07,3.060784e-07,0.001075,0.001075
3.0653504e-07,-2.782874e-11,8.3336745e-06,6.5691856e-06,3.066362e-07,3.0614953e-07,3.066362e-07,3.0614953e-07,0.001125,0.001125
3.0655522e-07,4.4902875e-12,8.33358e-06,6.5691106e-06,3.0653888e-07,3.0597172e-07,3.0653888e-07,3.0597172e-07,0.001175,0.001175
3.0650236e-07,1.6844519e-11,8.333478e-06,6.569031e-06,3.064411e-07,3.0611395e-07,3.064411e-07,3.0611395e-07,0.001225,0.001225
3.0634763e-07,1.0571804e-12,8.3333725e-06,6.568948e-06,3.063438e-07,3.0600728e-07,3.063438e-07,3.0600728e-07,0.001275,0.001275
3.0623917e-07,-1.8823387e-12,8.333262e-06,6.56886e-06,3.0624602e-07,3.0611395e-07,3.0624602e-07,3.0611395e-07,0.001325,0.001325
3.0615882e-07,2.7808211e-12,8.333147e-06,6.5687695e-06,3.061487e-07,3.0593617e-07,3.061487e-07,3.0593617e-07,0.001375,0.001375
3.0607575e-07,6.702261e-12,8.333036e-06,6.5686822e-06,3.060514e-07,3.0563396e-07,3.060514e-07,3.0563396e-07,0.001425,0.001425
3.0590283e-07,-1.39769194e-11,8.332943e-06,6.568609e-06,3.0595362e-07,3.0533172e-07,3.0595362e-07,3.0533172e-07,0.001475,0.001475
3.0583067e-07,-7.053245e-12,8.332845e-06,6.5685313e-06,3.058563e-07,3.0538504e-07,3.058563e-07,3.0538504e-07,0.001525,0.001525
3.0582558e-07,1.8440178e-11,8.332748e-06,6.568455e-06,3.0575853e-07,3.0517174e-07,3.0575853e-07,3.0517174e-07,0.001575,0.001575
3.0576976e-07,2.9858362e-11,8.332651e-06,6.568379e-06,3.0566122e-07,3.052784e-07,3.0566122e-07,3.052784e-07,0.001625,0.001625
3.055878e-07,6.697938e-12,8.332537e-06,6.5682884e-06,3.0556345e-07,3.055095e-07,3.0556345e-07,3.055095e-07,0.001675,0.001675
3.0533025e-07,-3.738105e-11,8.332412e-06,6.5681907e-06,3.0546613e-07,3.0547395e-07,3.0546613e-07,3.0547395e-07,0.001725,0.001725
3.0545985e-07,2.5163456e-11,8.332288e-06,6.5680924e-06,3.0536836e-07,3.054384e-07,3.0536836e-07,3.054384e-07,0.001775,0.001775
3.0536214e-07,2.5058363e-11,8.332162e-06,6.5679933e-06,3.0527104e-07,3.0524285e-07,3.0527104e-07,3.0524285e-07,0.001825,0.001825
3.0512913e-07,-1.2141921e-11,8.332038e-06,6.5678955e-06,3.0517327e-07,3.0520727e-07,3.0517327e-07,3.0520727e-07,0.001875,0.001875
3.051081e-07,8.839267e-12,8.33191e-06,6.567795e-06,3.0507596e-07,3.051184e-07,3.0507596e-07,3.051184e-07,0.001925,0.001925
3.049464e-07,-8.7405395e-12,8.331787e-06,6.5676977e-06,3.049782e-07,3.048517e-07,3.049782e-07,3.048517e-07,0.001975,0.001975
3.0491503e-07,9.5210185e-12,8.331667e-06,6.5676036e-06,3.0488042e-07,3.0488727e-07,3.0488042e-07,3.0488727e-07,0.002025,0.002025
3.0478193e-07,-3.2367926e-13,8.331541e-06,6.5675035e-06,3.047831e-07,3.047806e-07,3.047831e-07,3.047806e-07,0.002075,0.002075
3.045251e-07,-4.4084732e-11,8.33142e-06,6.567408e-06,3.0468533e-07,3.045495e-07,3.0468533e-07,3.045495e-07,0.002125,0.002125
3.0456746e-07,-5.5316e-12,8.331303e-06,6.567316e-06,3.0458756e-07,3.0442504e-07,3.0458756e-07,3.0442504e-07,0.002175,0.002175
