tipSampleSeparation,vDeflection,height,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-2.820013e-08,9.563815e-10,7.858877e-06,-3.2797224e-08,-3.167687e-08,0.1707,0.0005
-2.8297201e-08,9.615277e-10,7.858796e-06,-3.2813595e-08,-3.179265e-08,0.1717,0.0015
-2.8459903e-08,9.830352e-10,7.85873e-06,-3.2829966e-08,-3.2033537e-08,0.1727,0.0025
-2.8578988e-08,9.805372e-10,7.858681e-06,-3.2846337e-08,-3.2143543e-08,0.1737,0.0035
-2.8734668e-08,9.911386e-10,7.8586445e-06,-3.2862708e-08,-3.233776e-08,0.1747,0.0045
-2.8730902e-08,1.000732e-09,7.858616e-06,-3.287908e-08,-3.236887e-08,0.1757,0.0055
-2.8775585e-08,1.0046394e-09,7.858611e-06,-3.289454e-08,-3.2427756e-08,0.1767,0.0065
-2.8926475e-08,1.0110598e-09,7.858599e-06,-3.2910002e-08,-3.260199e-08,0.1777,0.0075
-2.9033654e-08,1.0046235e-09,7.8585945e-06,-3.2925463e-08,-3.2685765e-08,0.1787,0.0085
-2.9070227e-08,1.0141852e-09,7.8585945e-06,-3.2940925e-08,-3.27571e-08,0.1797,0.0095
-2.9199779e-08,9.999431e-10,7.8585845e-06,-3.2956386e-08,-3.283488e-08,0.1807,0.0105
-2.9298041e-08,1.0055555e-09,7.858571e-06,-3.2970938e-08,-3.2953544e-08,0.1817,0.0115
-2.9232202e-08,1.0234215e-09,7.858576e-06,-3.298549e-08,-3.2952652e-08,0.1827,0.0125
-2.9388268e-08,1.0103842e-09,7.858587e-06,-3.3000042e-08,-3.3061323e-08,0.1837,0.0135
-2.9340802e-08,1.0060813e-09,7.858581e-06,-3.3013684e-08,-3.2998216e-08,0.1847,0.0145
-2.9420944e-08,1.0163738e-09,7.8585845e-06,-3.3028236e-08,-3.3115775e-08,0.1857,0.0155
-2.9559992e-08,1.0078924e-09,7.8585845e-06,-3.304188e-08,-3.3223987e-08,0.1867,0.0165
-2.9513277e-08,1.0036275e-09,7.8585745e-06,-3.305552e-08,-3.316177e-08,0.1877,0.0175
-2.9535272e-08,1.015304e-09,7.858574e-06,-3.3069163e-08,-3.322621e-08,0.1887,0.0185
-2.9538759e-08,1.0197234e-09,7.858585e-06,-3.3082806e-08,-3.3245765e-08,0.1897,0.0195
-2.9527978e-08,1.014866e-09,7.858593e-06,-3.309554e-08,-3.3217326e-08,0.1907,0.0205
