tipSampleSeparation,vDeflection,height,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-3.0008607e-08,1.0014897e-09,7.863424e-06,-3.0997334e-08,-3.364933e-08,0.9207,0.0005
-2.9837217e-08,1.0117132e-09,7.863452e-06,-3.100279e-08,-3.3515104e-08,0.9217,0.0015
-2.9890693e-08,9.973105e-10,7.863509e-06,-3.100825e-08,-3.3516223e-08,0.9227,0.0025
-2.9920233e-08,1.0010438e-09,7.863534e-06,-3.1013705e-08,-3.355933e-08,0.9237,0.0035
-2.9789728e-08,1.0149953e-09,7.863576e-06,-3.1020072e-08,-3.3479548e-08,0.9247,0.0045
-2.9693242e-08,1.013175e-09,7.863559e-06,-3.102553e-08,-3.337644e-08,0.9257,0.0055
-2.992328e-08,9.95253e-10,7.8635685e-06,-3.1030986e-08,-3.354133e-08,0.9267,0.0065
-2.9782592e-08,9.948313e-10,7.863618e-06,-3.1036443e-08,-3.339911e-08,0.9277,0.0075
-2.9793863e-08,9.982084e-10,7.8636085e-06,-3.104281e-08,-3.3422655e-08,0.9287,0.0085
-2.9787866e-08,1.0070721e-09,7.863684e-06,-3.1048266e-08,-3.344888e-08,0.9297,0.0095
-2.9777683e-08,9.9172e-10,7.863712e-06,-3.1053723e-08,-3.3382886e-08,0.9307,0.0105
-2.974553e-08,9.843028e-10,7.863791e-06,-3.105918e-08,-3.3323772e-08,0.9317,0.0115
-2.984222e-08,9.797129e-10,7.863787e-06,-3.1064637e-08,-3.3403776e-08,0.9327,0.0125
-2.98059e-08,9.773553e-10,7.863863e-06,-3.1071004e-08,-3.3358887e-08,0.9337,0.0135
-2.9704495e-08,9.862993e-10,7.863878e-06,-3.107646e-08,-3.3289993e-08,0.9347,0.0145
-2.9720482e-08,9.79761e-10,7.863882e-06,-3.1081917e-08,-3.3282213e-08,0.9357,0.0155
-2.9711885e-08,9.800489e-10,7.863935e-06,-3.1087374e-08,-3.3274663e-08,0.9367,0.0165
-2.9623456e-08,9.819995e-10,7.863946e-06,-3.109374e-08,-3.3193324e-08,0.9377,0.0175
