Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N]	Contact Point Offset [m]
WT_1_3um_Durchmesser-2016.10.26-13.19.59.929.jpk-force	1	-2.26853e-05	-6.14858e-06	-7.13539e-09	9.96933e-05	7.23034e-06
WT_1_3um_Durchmesser-2016.10.26-13.20.04.968.jpk-force	2	-2.26550e-05	-6.14858e-06	-6.93805e-09	6.82219e-05	7.23162e-06
WT_1_3um_Durchmesser-2016.10.26-13.20.10.007.jpk-force	3	-2.26248e-05	-6.14858e-06	-6.85148e-09	5.23202e-05	7.23088e-06
WT_1_3um_Durchmesser-2016.10.26-13.20.15.048.jpk-force	4	-2.25946e-05	-6.14858e-06	-6.84808e-09	4.75111e-05	7.23437e-06
WT_1_3um_Durchmesser-2016.10.26-13.20.20.085.jpk-force	5	-2.25643e-05	-6.14858e-06	-6.97110e-09	6.02971e-05	7.23605e-06
WT_1_3um_Durchmesser-2016.10.26-13.20.25.126.jpk-force	6	-2.25341e-05	-6.14858e-06	-6.97876e-09	5.77886e-05	7.23537e-06
WT_1_3um_Durchmesser-2016.10.26-13.20.30.165.jpk-force	7	-2.25039e-05	-6.14858e-06	-6.99949e-09	5.69652e-05	7.23731e-06
WT_1_3um_Durchmesser-2016.10.26-13.20.35.210.jpk-force	8	-2.24737e-05	-6.14858e-06	-6.97974e-09	5.05689e-05	7.23116e-06
WT_1_3um_Durchmesser-2016.10.26-13.20.40.247.jpk-force	9	-2.24434e-05	-6.14858e-06	-7.04634e-09	5.60562e-05	7.22922e-06
WT_1_3um_Durchmesser-2016.10.26-13.20.45.283.jpk-force	10	-2.24434e-05	-6.11835e-06	-7.27945e-09	8.36593e-05	7.23149e-06
WT_1_3um_Durchmesser-2016.10.26-13.20.50.321.jpk-force	11	-2.24737e-05	-6.11835e-06	-7.07980e-09	5.27480e-05	7.23732e-06
WT_1_3um_Durchmesser-2016.10.26-13.20.55.360.jpk-force	12	-2.25039e-05	-6.11835e-06	-7.12732e-09	5.48730e-05	7.23785e-06
WT_1_3um_Durchmesser-2016.10.26-13.21.00.402.jpk-force	13	-2.25341e-05	-6.11835e-06	-7.18913e-09	5.91257e-05	7.23628e-06
WT_1_3um_Durchmesser-2016.10.26-13.21.05.441.jpk-force	14	-2.25643e-05	-6.11835e-06	-7.26474e-09	6.61803e-05	7.23528e-06
WT_1_3um_Durchmesser-2016.10.26-13.21.10.478.jpk-force	15	-2.25946e-05	-6.11835e-06	-7.21197e-09	5.53884e-05	7.23939e-06
WT_1_3um_Durchmesser-2016.10.26-13.21.15.521.jpk-force	16	-2.26248e-05	-6.11835e-06	-7.23832e-09	5.44178e-05	7.23274e-06
WT_1_3um_Durchmesser-2016.10.26-13.21.20.562.jpk-force	17	-2.26550e-05	-6.11835e-06	-7.22529e-09	4.90581e-05	7.22985e-06
WT_1_3um_Durchmesser-2016.10.26-13.21.25.604.jpk-force	18	-2.26853e-05	-6.11835e-06	-7.26538e-09	5.03942e-05	7.22746e-06
WT_1_3um_Durchmesser-2016.10.26-13.21.30.644.jpk-force	19	-2.27155e-05	-6.11835e-06	-7.40934e-09	6.56148e-05	7.22434e-06
WT_1_3um_Durchmesser-2016.10.26-13.21.35.685.jpk-force	20	-2.27155e-05	-6.08812e-06	-7.60217e-09	8.90301e-05	7.22300e-06
WT_1_3um_Durchmesser-2016.10.26-13.21.40.722.jpk-force	21	-2.26853e-05	-6.08812e-06	-7.60873e-09	8.44465e-05	7.22528e-06
WT_1_3um_Durchmesser-2016.10.26-13.21.45.764.jpk-force	22	-2.26550e-05	-6.08812e-06	-7.65142e-09	8.74224e-05	7.22319e-06
WT_1_3um_Durchmesser-2016.10.26-13.21.50.804.jpk-force	23	-2.26248e-05	-6.08812e-06	-7.55903e-09	7.06501e-05	7.22189e-06
WT_1_3um_Durchmesser-2016.10.26-13.21.55.844.jpk-force	24	-2.25946e-05	-6.08812e-06	-7.68558e-09	8.37084e-05	7.22058e-06
WT_1_3um_Durchmesser-2016.10.26-13.22.00.885.jpk-force	25	-2.25643e-05	-6.08812e-06	-7.39668e-09	3.61446e-05	7.21448e-06
WT_1_3um_Durchmesser-2016.10.26-13.22.05.930.jpk-force	26	-2.25341e-05	-6.08812e-06	-7.86111e-09	9.89451e-05	7.21363e-06
WT_1_3um_Durchmesser-2016.10.26-13.22.10.969.jpk-force	27	-2.25039e-05	-6.08812e-06	-7.81410e-09	8.96376e-05	7.20835e-06
WT_1_3um_Durchmesser-2016.10.26-13.22.16.012.jpk-force	28	-2.24737e-05	-6.08812e-06	-7.84823e-09	9.00225e-05	7.19866e-06
WT_1_3um_Durchmesser-2016.10.26-13.22.21.055.jpk-force	29	-2.24434e-05	-6.08812e-06	-8.00252e-09	0.000107482	7.19471e-06
WT_1_3um_Durchmesser-2016.10.26-13.22.26.094.jpk-force	30	-2.24434e-05	-6.05789e-06	-8.24153e-09	0.000136474	7.19368e-06
WT_1_3um_Durchmesser-2016.10.26-13.22.31.134.jpk-force	31	-2.24737e-05	-6.05789e-06	-7.96549e-09	9.44067e-05	7.19365e-06
WT_1_3um_Durchmesser-2016.10.26-13.22.36.174.jpk-force	32	-2.25039e-05	-6.05789e-06	-7.90567e-09	8.13748e-05	7.19613e-06
WT_1_3um_Durchmesser-2016.10.26-13.22.41.216.jpk-force	33	-2.25341e-05	-6.05789e-06	-8.01823e-09	9.49929e-05	7.18710e-06
WT_1_3um_Durchmesser-2016.10.26-13.22.46.257.jpk-force	34	-2.25643e-05	-6.05789e-06	-8.24367e-09	0.000121447	7.18552e-06
WT_1_3um_Durchmesser-2016.10.26-13.22.51.301.jpk-force	35	-2.25946e-05	-6.05789e-06	-8.18225e-09	0.000109846	7.17790e-06
WT_1_3um_Durchmesser-2016.10.26-13.22.56.343.jpk-force	36	-2.26248e-05	-6.05789e-06	-8.46533e-09	0.000143897	7.17734e-06
WT_1_3um_Durchmesser-2016.10.26-13.23.01.384.jpk-force	37	-2.26550e-05	-6.05789e-06	-8.44984e-09	0.000137895	7.17059e-06
WT_1_3um_Durchmesser-2016.10.26-13.23.06.426.jpk-force	38	-2.26853e-05	-6.05789e-06	-8.28851e-09	0.000112619	7.16509e-06
