tipSampleSeparation,vDeflection,height,head-height,smoothedCapacitiveSensorHeight,capacitiveSensorHeight,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-3.374194e-08,1.1201415e-09,7.86345e-06,6.1985224e-06,-3.7813997e-08,-3.49672e-08,-3.7813997e-08,-3.49672e-08,4.9103003,0.000100040015
-3.2897308e-08,1.1065525e-09,7.863896e-06,6.198873e-06,-3.6919964e-08,-3.460051e-08,-3.6919964e-08,-3.460051e-08,4.9105,0.00030012004
-3.209015e-08,1.0819043e-09,7.8644725e-06,6.1993283e-06,-3.6023202e-08,-3.434274e-08,-3.6023202e-08,-3.434274e-08,4.9107003,0.0005002001
-3.1400912e-08,1.024068e-09,7.865179e-06,6.1998844e-06,-3.5123712e-08,-3.3844948e-08,-3.5123712e-08,-3.3844948e-08,4.9109,0.0007002801
-3.0513778e-08,1.0199185e-09,7.865998e-06,6.20053e-06,-3.4221493e-08,-3.3276063e-08,-3.4221493e-08,-3.3276063e-08,4.9111004,0.0009003601
-2.9782973e-08,9.720155e-10,7.866881e-06,6.201226e-06,-3.3316546e-08,-3.275161e-08,-3.3316546e-08,-3.275161e-08,4.9113007,0.0011004402
-2.9077968e-08,9.1626445e-10,7.86784e-06,6.201983e-06,-3.240887e-08,-3.198716e-08,-3.240887e-08,-3.198716e-08,4.9115005,0.0013005203
-2.826358e-08,8.9010294e-10,7.868862e-06,6.2027875e-06,-3.1499376e-08,-3.1391593e-08,-3.1499376e-08,-3.1391593e-08,4.9117007,0.0015006003
-2.7432183e-08,8.6761875e-10,7.869992e-06,6.2036784e-06,-3.0586243e-08,-3.09827e-08,-3.0586243e-08,-3.09827e-08,4.9119005,0.0017006802
-2.6774508e-08,7.9684703e-10,7.871192e-06,6.2046247e-06,-2.9671291e-08,-3.0093805e-08,-2.9671291e-08,-3.0093805e-08,4.912101,0.0019007603
-2.6008642e-08,7.5508627e-10,7.87243e-06,6.2056e-06,-2.8753611e-08,-2.9240464e-08,-2.8753611e-08,-2.9240464e-08,4.912301,0.0021008404
-2.5232964e-08,7.155241e-10,7.873648e-06,6.206561e-06,-2.7834112e-08,-2.8236006e-08,-2.7834112e-08,-2.8236006e-08,4.912501,0.0023009204
-2.44544e-08,6.7600525e-10,7.874915e-06,6.207559e-06,-2.6911884e-08,-2.7441933e-08,-2.6911884e-08,-2.7441933e-08,4.912701,0.0025010004
-2.3714408e-08,6.25125e-10,7.876225e-06,6.208592e-06,-2.5986928e-08,-2.678266e-08,-2.5986928e-08,-2.678266e-08,4.912901,0.0027010804
-2.2963164e-08,5.7684013e-10,7.877589e-06,6.2096674e-06,-2.5060153e-08,-2.5911536e-08,-2.5060153e-08,-2.5911536e-08,4.913101,0.0029011604
-2.2134296e-08,5.494074e-10,7.878971e-06,6.2107565e-06,-2.4131559e-08,-2.4928193e-08,-2.4131559e-08,-2.4928193e-08,4.9133015,0.0031012406
-2.1436028e-08,4.852985e-10,7.880333e-06,6.21183e-06,-2.3200236e-08,-2.3958185e-08,-2.3200236e-08,-2.3958185e-08,4.9135013,0.0033013206
-2.0619435e-08,4.5323834e-10,7.881729e-06,6.2129307e-06,-2.2267095e-08,-2.314484e-08,-2.2267095e-08,-2.314484e-08,4.9137015,0.0035014006
-1.9896744e-08,3.9459708e-10,7.883148e-06,6.2140493e-06,-2.1331225e-08,-2.2193724e-08,-2.1331225e-08,-2.2193724e-08,4.9139013,0.0037014806
-1.9116108e-08,3.5139505e-10,7.88457e-06,6.21517e-06,-2.0393536e-08,-2.1038158e-08,-2.0393536e-08,-2.1038158e-08,4.9141016,0.0039015606
-1.818746e-08,3.4840733e-10,7.885973e-06,6.2162762e-06,-1.9454028e-08,-2.0108146e-08,-1.9454028e-08,-2.0108146e-08,4.914302,0.0041016405
-1.7467917e-08,2.8739902e-10,7.887409e-06,6.217408e-06,-1.85127e-08,-1.9448146e-08,-1.85127e-08,-1.9448146e-08,4.9145017,0.0043017208
-1.664129e-08,2.5509714e-10,7.888896e-06,6.21858e-06,-1.7568645e-08,-1.845035e-08,-1.7568645e-08,-1.845035e-08,4.914702,0.0045018005
-1.5896875e-08,1.9992959e-10,7.8903495e-06,6.2197255e-06,-1.662368e-08,-1.7251455e-08,-1.662368e-08,-1.7251455e-08,4.9149017,0.0047018807
-1.5045805e-08,1.7335085e-10,7.891805e-06,6.2208733e-06,-1.5675987e-08,-1.6315813e-08,-1.5675987e-08,-1.6315813e-08,4.915102,0.004901961
-1.4182921e-08,1.4977102e-10,7.8932735e-06,6.2220306e-06,-1.4727385e-08,-1.5495884e-08,-1.4727385e-08,-1.5495884e-08,4.9153023,0.0051020407
-1.3431613e-08,9.474854e-11,7.894765e-06,6.223206e-06,-1.3776053e-08,-1.4582538e-08,-1.3776053e-08,-1.4582538e-08,4.915502,0.005302121
-1.24682895e-08,9.779713e-11,7.896275e-06,6.2243967e-06,-1.2823812e-08,-1.3498087e-08,-1.2823812e-08,-1.3498087e-08,4.9157023,0.0055022007
-1.1708907e-08,4.3995068e-11,7.897747e-06,6.225557e-06,-1.1868843e-08,-1.2364743e-08,-1.1868843e-08,-1.2364743e-08,4.915902,0.005702281
-1.0824532e-08,2.4325647e-11,7.89923e-06,6.2267263e-06,-1.0912964e-08,-1.1551399e-08,-1.0912964e-08,-1.1551399e-08,4.9161024,0.005902361
-9.903744e-09,1.4172675e-11,7.900713e-06,6.2278955e-06,-9.955266e-09,-1.0491385e-08,-9.955266e-09,-1.0491385e-08,4.916302,0.006102441
-8.932801e-09,1.7315462e-11,7.90219e-06,6.229059e-06,-8.995749e-09,-9.424707e-09,-8.995749e-09,-9.424707e-09,4.9165025,0.006302521
